Master  Plot,LS,HQ,Crustose, Foliose, Fruticose, Squam, Bark, Non calc. rock, # Humus, PB Cyanobact., PB Absent, PB Green coccoid, PB Green trent., Sexual,#  Asexual, # EpiphyticMacrolichen No, # EpiphyticMacrolichen Yes,# Broad Lobes,# Narrow Lobes,# Pruina Pres,# Pruina Abs,# Cor Chem Absent,# Cort Chem Present
32,87,86.2,45,32,4,2,73,0,0,9,1,61,13,49,34,49,35,25,7,16,67,58,22
33,43,30.7,25,16,1,0,40,1,0,1,1,34,6,22,20,25,17,11,5,6,35,26,13
34,39,41.7,19,17,2,0,37,1,0,0,0,32,6,21,16,19,19,12,5,9,29,24,14
35,71,78.2,40,22,4,0,57,1,1,6,0,44,18,44,22,43,25,20,4,14,54,42,24
36,20,29.2,9,9,0,0,16,1,2,0,0,19,1,11,9,11,9,10,0,4,16,14,6
37,117,69.8,52,39,2,6,86,14,12,2,3,99,11,61,48,73,42,44,9,15,97,66,44
38,82,52.2,38,20,4,4,50,8,16,2,2,73,4,41,34,58,23,29,3,9,70,45,33
39,99,88.2,55,30,3,6,63,26,4,6,2,82,8,37,57,66,32,32,5,16,80,52,43
40,56,34.6,27,25,2,1,52,2,1,3,1,49,3,18,36,29,27,25,1,8,47,33,22
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,83,82,47,27,5,1,67,10,3,1,0,64,16,38,40,52,29,26,3,15,66,51,30
43,79,80,45,20,3,7,65,8,3,7,0,51,19,42,33,50,27,20,5,15,62,48,29
44,53,49.8,25,21,1,3,47,1,1,2,0,46,5,14,35,29,24,22,2,8,45,26,26
45,58,70.6,20,30,1,3,50,1,2,3,1,50,2,13,40,24,32,25,8,7,48,32,22
46,51,57.1,23,23,2,1,48,1,2,1,0,47,4,17,32,26,26,20,6,8,44,27,24
47,14,44,7,6,0,0,13,0,1,0,1,13,0,5,8,8,6,5,2,3,10,9,4
48,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,34,36.2,20,13,0,1,34,0,0,1,1,28,4,14,20,20,14,9,4,4,29,13,16
50,93,76.2,47,38,0,3,70,3,2,9,3,65,13,48,39,54,36,31,9,12,75,50,35
51,54,73.2,29,16,1,3,38,1,1,3,0,34,14,28,21,33,18,15,2,8,43,33,17
52,71,67,32,31,1,1,59,0,2,5,0,50,14,34,32,38,31,27,6,10,59,41,27
